epoch,accuracy,f1_score,loss,val_accuracy,val_f1_score,val_loss
0,0.9453394412994385,0.8878044486045837,0.08671087771654129,0.9583333134651184,0.9591020941734314,0.055985227227211
1,0.9650939702987671,0.9425076246261597,0.0650957003235817,0.9726775884628296,0.9656513929367065,0.05316845700144768
2,0.9789029359817505,0.9721606373786926,0.04202819988131523,0.9494535326957703,0.9542025327682495,0.08401240408420563
3,0.9771768450737,0.9655008316040039,0.04854670912027359,0.9795082211494446,0.9676101207733154,0.054425641894340515
4,0.9769850373268127,0.9721343517303467,0.03801925480365753,0.9733606576919556,0.9718774557113647,0.058230869472026825
5,0.9873417615890503,0.9831355810165405,0.03530185669660568,0.9624316692352295,0.9623861908912659,0.08501364290714264
6,0.9888761043548584,0.9854723215103149,0.030805259943008423,0.9685792326927185,0.9697241187095642,0.07450532913208008
7,0.9666283130645752,0.9498292803764343,0.06835728883743286,0.9357923269271851,0.9354280829429626,0.1473149061203003
0,0.9539700746536255,0.9070846438407898,0.07885651290416718,0.9658470153808594,0.9499642848968506,0.06276176869869232
1,0.9762178659439087,0.9662109613418579,0.044383492320775986,0.9713114500045776,0.9722222685813904,0.08388957381248474
2,0.950901448726654,0.9024059772491455,0.09805336594581604,0.9624316692352295,0.9624316692352295,0.07562720775604248
3,0.9629842638969421,0.9493380784988403,0.07544080168008804,0.9562841653823853,0.9562841653823853,0.08454322069883347
4,0.7924817800521851,0.21276454627513885,0.269096314907074,0.7759562730789185,0.0,0.2987124025821686
